,Name,Symbol,Start,Internal,End,Formula,Exact Mass,,,,
,A,A5n,False,False,True,,249.0862,,,,
,C,C5n,False,False,True,,225.0750,,,,
,G,G5n,False,False,True,,265.0811,,,,
,U,U5n,False,False,True,,226.0590,,,,
,A5b,A5b,True,False,False,,347.0631,,,,
,C5b,C5b,True,False,False,,323.0519,,,,
,G5b,G5b,True,False,False,,363.0580,,,,
,U5b,U5b,True,False,False,,324.0359,,,,
,A3b,A3b,True,False,False,,267.0968,,,,
,C3b,C3b,True,False,False,,243.0855,,,,
,G3b,G3b,True,False,False,,283.0917,,,,
,U3b,U3b,True,False,False,,244.0695,,,,
